Fecha,Producto,Región,Ventas
2024-08-18,E,Centro,419
2024-02-10,A,Oeste,464
2024-01-28,B,Norte,136
2024-05-14,B,Centro,89
2024-07-19,C,Este,210
2024-11-23,E,Norte,240
2024-09-24,C,Centro,74
2024-02-02,B,Centro,469
2024-02-17,C,Oeste,201
2024-03-02,E,Norte,144
2024-08-03,E,Este,491
2024-10-19,A,Este,472
2024-04-08,D,Norte,95
2024-06-20,A,Norte,187
2024-12-25,E,Sur,337
2024-08-01,B,Oeste,402
2024-02-04,B,Norte,213
2024-08-14,A,Norte,461
2024-04-10,E,Sur,449
2024-05-10,B,Sur,65
2024-09-13,E,Centro,67
2024-01-05,B,Este,185
2024-08-05,E,Oeste,296
2024-09-11,C,Centro,297
2024-12-24,E,Norte,380
2024-10-09,E,Sur,247
2024-07-25,A,Este,50
2024-01-15,C,Centro,239
2024-12-11,D,Este,430
2024-02-11,A,Sur,343
2024-06-27,D,Centro,94
2024-03-03,B,Centro,491
2024-12-17,D,Este,386
2024-08-18,E,Sur,434
2024-08-28,D,Norte,81
2024-02-21,A,Centro,441
2024-04-05,A,Norte,167
2024-08-09,D,Sur,345
2024-08-18,A,Centro,233
2024-08-24,A,Centro,240
2024-05-22,D,Norte,284
2024-06-19,C,Oeste,287
2024-01-29,C,Norte,265
2024-02-05,B,Norte,123
2024-01-13,A,Oeste,160
2024-06-08,D,Sur,152
2024-11-22,A,Sur,408
2024-07-05,E,Centro,123
2024-08-30,A,Este,469
2024-03-26,A,Este,301
2024-10-10,C,Centro,163
2024-03-06,D,Este,428
2024-06-18,A,Norte,362
2024-02-14,C,Norte,379
2024-03-02,B,Oeste,388
2024-05-13,C,Oeste,287
2024-10-10,C,Centro,222
2024-01-28,C,Centro,128
2024-04-17,A,Centro,435
2024-02-13,A,Norte,142
2024-12-05,B,Este,99
2024-10-12,E,Centro,334
2024-11-26,E,Centro,272
2024-05-07,E,Norte,130
2024-12-13,B,Norte,315
2024-08-18,E,Norte,204
2024-07-08,E,Este,422
2024-08-12,C,Centro,282
2024-10-09,A,Sur,448
2024-04-30,A,Sur,365
2024-04-25,C,Centro,285
2024-08-20,C,Centro,208
2024-09-15,C,Centro,454
2024-12-24,A,Centro,365
2024-07-16,E,Este,300
2024-05-16,C,Sur,363
2024-11-13,B,Oeste,474
2024-06-13,C,Sur,479
2024-08-12,D,Sur,350
2024-11-02,C,Norte,429
2024-08-21,A,Centro,331
2024-06-20,C,Centro,151
2024-05-31,D,Centro,100
2024-11-10,B,Norte,469
2024-06-08,E,Este,101
2024-04-05,C,Este,258
2024-08-20,D,Oeste,356
2024-06-28,D,Este,180
2024-04-22,B,Este,319
2024-11-13,A,Centro,482
2024-02-21,C,Sur,254
2024-09-24,D,Este,268
2024-10-21,B,Este,306
2024-04-22,E,Norte,234
2024-04-10,D,Oeste,194
2024-04-22,B,Norte,227
2024-03-21,A,Centro,63
2024-07-05,A,Sur,295
2024-04-22,D,Oeste,236
2024-01-02,D,Norte,386
2024-05-09,C,Este,308
2024-08-07,B,Este,403
2024-02-23,D,Oeste,89
2024-12-08,C,Este,138
2024-08-11,C,Norte,174
2024-08-12,D,Norte,499
2024-05-05,A,Este,467
2024-05-09,B,Este,400
2024-02-22,B,Centro,58
2024-06-20,A,Sur,399
2024-08-05,D,Oeste,133
2024-06-08,B,Norte,70
2024-07-16,D,Oeste,330
2024-09-03,D,Centro,407
2024-11-19,C,Norte,427
2024-07-21,A,Centro,221
2024-07-02,D,Centro,74
2024-05-02,E,Este,442
2024-09-11,A,Oeste,152
2024-10-20,B,Oeste,239
2024-10-06,C,Este,285
2024-11-20,B,Oeste,459
2024-04-07,B,Este,362
2024-07-16,A,Norte,86
2024-08-27,B,Centro,321
2024-05-23,D,Centro,342
2024-04-06,B,Oeste,381
2024-07-19,C,Sur,201
2024-05-03,C,Centro,331
2024-07-05,E,Este,69
2024-11-21,C,Sur,186
2024-12-14,B,Sur,408
2024-09-15,C,Centro,78
2024-05-27,A,Centro,80
2024-09-08,C,Centro,68
2024-12-11,D,Este,197
2024-05-26,A,Sur,332
2024-05-27,E,Oeste,399
2024-12-17,D,Este,390
2024-07-17,B,Norte,349
2024-11-03,B,Centro,212
2024-05-07,B,Sur,162
2024-02-08,D,Este,199
2024-12-03,D,Norte,379
2024-12-25,D,Este,304
2024-05-08,A,Este,136
2024-09-23,A,Oeste,448
2024-05-30,B,Oeste,399
2024-10-24,C,Este,147
2024-04-08,B,Norte,446
2024-09-19,E,Sur,181
2024-09-08,A,Sur,361
2024-05-23,D,Centro,456
2024-12-11,A,Centro,146
2024-04-21,D,Sur,147
2024-02-29,E,Este,339
2024-01-02,E,Este,405
2024-10-30,A,Oeste,276
2024-09-10,D,Oeste,194
2024-05-19,E,Centro,205
2024-02-06,B,Sur,319
2024-06-08,B,Este,211
2024-01-09,D,Sur,161
2024-08-20,A,Norte,380
2024-04-08,E,Sur,234
2024-05-26,A,Norte,254
2024-10-30,B,Oeste,146
2024-07-26,E,Oeste,426
2024-05-10,A,Centro,104
2024-05-31,C,Sur,499
2024-02-23,D,Sur,166
2024-04-29,D,Norte,142
2024-06-09,C,Oeste,342
2024-04-25,B,Norte,253
2024-03-15,E,Oeste,331
2024-04-22,D,Norte,238
2024-04-13,C,Oeste,372
2024-12-05,C,Norte,133
2024-09-10,B,Oeste,229
2024-08-14,B,Norte,323
2024-04-21,A,Sur,230
2024-04-08,D,Centro,496
2024-06-01,A,Norte,230
2024-12-14,C,Centro,332
2024-12-03,E,Sur,336
2024-07-12,E,Sur,155
2024-11-05,B,Oeste,178
2024-06-11,E,Centro,311
2024-07-26,E,Este,60
2024-06-17,E,Oeste,211
2024-06-09,C,Centro,496
2024-03-08,E,Norte,230
2024-10-15,E,Norte,262
2024-10-03,E,Sur,323
2024-10-30,A,Este,70
2024-05-14,C,Norte,324
2024-07-13,B,Centro,309
2024-05-07,A,Centro,382
2024-02-02,D,Norte,165
2024-06-24,C,Centro,462
2024-01-22,C,Centro,74
2024-08-25,D,Sur,489
2024-06-06,D,Este,382
2024-02-07,D,Sur,303
2024-08-17,B,Este,496
2024-12-30,E,Centro,460
2024-02-20,C,Este,493
2024-09-20,E,Centro,260
2024-10-09,E,Centro,354
2024-01-27,D,Sur,370
2024-08-13,B,Sur,471
2024-10-03,A,Oeste,388
2024-10-12,B,Norte,485
2024-04-06,E,Oeste,306
2024-10-10,B,Oeste,217
2024-11-12,D,Este,386
2024-10-30,A,Centro,70
2024-05-26,D,Centro,135
2024-01-04,A,Centro,64
2024-02-04,E,Norte,99
2024-07-10,A,Este,353
2024-02-18,A,Este,465
2024-01-17,A,Centro,354
2024-06-20,B,Oeste,245
2024-08-07,B,Norte,413
2024-06-06,E,Oeste,350
2024-02-15,A,Sur,337
2024-01-06,C,Este,437
2024-04-08,E,Este,294
2024-08-20,A,Oeste,498
2024-02-06,A,Norte,402
2024-10-06,B,Este,250
2024-12-14,E,Oeste,242
2024-10-28,A,Norte,385
2024-06-29,A,Oeste,195
2024-04-04,E,Norte,359
2024-04-08,C,Centro,176
2024-07-06,E,Norte,224
2024-04-25,E,Sur,183
2024-07-09,C,Centro,115
2024-09-09,E,Oeste,442
2024-06-09,A,Centro,414
2024-09-12,E,Centro,328
2024-11-18,C,Oeste,295
2024-05-07,D,Oeste,412
2024-01-18,E,Sur,286
2024-10-07,B,Oeste,220
2024-08-10,A,Este,100
2024-02-23,A,Este,377
2024-02-27,B,Sur,408
2024-11-18,B,Norte,202
2024-12-25,E,Norte,129
2024-06-22,B,Este,468
2024-10-06,D,Oeste,194
2024-04-23,C,Sur,323
2024-10-14,B,Norte,204
2024-12-07,B,Norte,448
2024-05-30,D,Centro,386
2024-05-06,A,Este,412
2024-06-03,A,Oeste,374
2024-09-29,E,Sur,385
2024-04-13,D,Norte,192
2024-10-25,C,Centro,347
2024-09-02,C,Este,83
2024-06-24,D,Este,353
2024-02-08,C,Sur,441
2024-06-18,A,Norte,288
2024-09-03,C,Sur,187
2024-01-26,C,Sur,303
2024-12-20,D,Centro,54
2024-11-01,D,Este,421
2024-01-13,C,Oeste,225
2024-11-11,B,Este,422
2024-11-08,D,Este,459
2024-02-05,E,Centro,263
2024-06-21,E,Oeste,413
2024-01-20,A,Norte,72
2024-11-16,C,Oeste,367
2024-09-20,B,Norte,62
2024-05-21,A,Oeste,442
2024-05-22,C,Sur,290
2024-04-01,D,Oeste,325
2024-12-19,E,Centro,141
2024-11-17,B,Norte,157
2024-10-14,E,Este,490
2024-08-02,D,Centro,278
2024-12-07,C,Norte,201
2024-02-20,D,Norte,157
2024-06-01,D,Este,338
2024-07-04,E,Sur,453
2024-03-03,B,Centro,493
2024-07-08,D,Este,225
2024-05-04,E,Este,369
2024-05-29,B,Sur,335
2024-11-09,C,Centro,413
2024-02-27,C,Este,378
2024-12-07,A,Sur,414
2024-10-31,E,Centro,290
2024-06-28,B,Oeste,194
2024-06-18,D,Norte,405
2024-11-21,C,Sur,63
2024-09-27,B,Norte,324
2024-02-23,E,Oeste,120
2024-04-10,A,Este,364
2024-09-20,C,Este,244
2024-02-22,B,Centro,402
2024-02-29,B,Sur,349
2024-04-17,B,Sur,465
2024-01-05,E,Centro,416
2024-04-12,E,Norte,60
2024-07-14,E,Este,155
2024-09-18,D,Este,307
2024-12-30,B,Sur,430
2024-12-15,C,Sur,245
2024-02-16,E,Centro,194
2024-12-20,E,Oeste,269
2024-11-06,B,Norte,399
2024-11-03,E,Oeste,473
2024-05-23,D,Oeste,223
2024-09-25,D,Sur,265
2024-05-03,E,Sur,142
2024-04-15,B,Sur,309
2024-06-06,B,Oeste,471
2024-05-26,B,Norte,112
2024-05-24,A,Sur,78
2024-04-29,E,Este,324
2024-11-14,B,Norte,396
2024-10-01,D,Este,334
2024-04-01,C,Norte,468
2024-02-27,C,Sur,421
2024-12-11,B,Centro,119
2024-08-16,C,Sur,428
2024-04-26,C,Oeste,328
2024-11-13,A,Oeste,280
2024-10-05,D,Norte,351
2024-05-06,D,Oeste,304
2024-05-08,A,Sur,221
2024-02-27,A,Este,481
2024-05-01,C,Sur,229
2024-01-01,E,Norte,313
2024-08-26,C,Oeste,232
2024-10-16,A,Este,371
2024-04-05,D,Centro,254
2024-05-05,C,Este,473
2024-04-27,E,Este,298
2024-02-17,C,Sur,262
2024-03-29,B,Centro,208
2024-08-24,C,Norte,481
2024-09-28,A,Norte,149
2024-07-07,D,Este,366
2024-07-10,D,Este,161
2024-03-09,A,Oeste,357
2024-10-04,B,Centro,215
2024-12-14,A,Este,85
2024-09-03,C,Oeste,161
2024-03-16,A,Centro,136
2024-06-02,A,Norte,232
2024-05-23,B,Oeste,134
2024-03-26,C,Centro,318
2024-07-03,E,Oeste,214
2024-10-11,E,Este,352
2024-08-07,D,Sur,139
2024-03-09,A,Norte,287
2024-02-16,D,Este,71
2024-04-03,B,Este,216
2024-08-25,E,Centro,264
2024-07-22,A,Oeste,107
2024-08-05,B,Norte,79
2024-12-06,B,Este,451
2024-02-08,A,Centro,155
2024-04-09,B,Norte,451
2024-10-15,A,Oeste,379
2024-09-10,A,Este,216
2024-08-09,C,Este,399
2024-12-22,D,Este,203
2024-01-23,B,Norte,376
2024-09-06,B,Norte,56
2024-01-10,C,Norte,246
2024-09-02,C,Norte,370
2024-11-20,C,Centro,95
2024-04-09,E,Sur,67
2024-10-16,E,Centro,446
2024-06-28,E,Este,202
2024-08-10,A,Centro,313
2024-09-06,B,Oeste,123
2024-05-26,D,Norte,465
2024-04-05,A,Oeste,194
2024-09-13,B,Oeste,151
2024-11-20,B,Este,384
2024-01-04,C,Norte,384
2024-01-16,C,Oeste,170
2024-10-06,A,Este,225
2024-12-01,C,Norte,112
2024-09-03,B,Sur,345
2024-09-14,C,Este,133
2024-06-08,E,Centro,64
2024-12-05,C,Norte,404
2024-05-31,B,Oeste,183
2024-06-26,A,Oeste,170
2024-06-11,D,Centro,368
2024-02-02,C,Centro,441
2024-06-27,B,Oeste,177
2024-04-10,D,Norte,417
2024-09-24,D,Este,416
2024-11-18,E,Centro,337
2024-03-05,D,Centro,350
2024-06-16,B,Centro,427
2024-11-25,B,Sur,229
2024-02-12,C,Norte,131
2024-02-13,C,Norte,62
2024-10-11,C,Norte,73
2024-01-12,D,Norte,217
2024-04-04,D,Norte,319
2024-10-28,E,Oeste,119
2024-09-09,C,Centro,367
2024-08-29,A,Oeste,425
2024-02-04,E,Sur,138
2024-08-02,A,Este,238
2024-12-02,D,Centro,306
2024-03-30,E,Sur,266
2024-09-20,E,Oeste,499
2024-04-02,B,Este,431
2024-03-30,D,Sur,81
2024-04-24,D,Este,190
2024-04-14,E,Sur,210
2024-07-14,D,Oeste,81
2024-11-09,E,Este,361
2024-04-23,B,Sur,201
2024-03-15,E,Oeste,396
2024-08-04,D,Centro,309
2024-10-03,D,Oeste,265
2024-09-05,E,Oeste,328
2024-06-12,E,Centro,334
2024-12-22,E,Oeste,147
2024-07-10,C,Centro,454
2024-08-14,D,Centro,79
2024-06-25,D,Centro,139
2024-04-08,C,Sur,197
2024-02-05,E,Este,193
2024-04-05,B,Sur,116
2024-05-31,E,Centro,482
2024-05-30,E,Este,406
2024-07-08,C,Este,107
2024-08-11,D,Centro,477
2024-02-06,E,Este,330
2024-09-24,D,Este,328
2024-07-01,A,Sur,285
2024-01-13,D,Este,492
2024-10-05,B,Centro,434
2024-08-04,B,Norte,402
2024-12-20,E,Norte,448
2024-12-26,D,Norte,177
2024-10-12,E,Centro,386
2024-09-29,C,Norte,258
2024-03-02,B,Sur,485
2024-03-24,E,Centro,235
2024-08-04,C,Centro,218
2024-12-07,E,Centro,221
2024-07-05,D,Este,309
2024-01-19,D,Este,254
2024-06-25,D,Este,184
2024-04-09,D,Oeste,95
2024-08-20,A,Sur,58
2024-03-16,C,Centro,210
2024-09-21,C,Centro,338
2024-10-10,D,Este,389
2024-07-24,A,Centro,437
2024-08-10,D,Centro,370
2024-02-21,A,Norte,155
2024-12-04,D,Centro,339
2024-05-23,B,Oeste,390
2024-03-09,B,Este,137
2024-04-08,E,Sur,241
2024-01-25,D,Sur,202
2024-02-22,C,Norte,360
2024-05-30,E,Sur,186
2024-05-23,B,Sur,322
2024-02-26,D,Este,198
2024-02-08,E,Este,237
2024-04-18,D,Oeste,190
2024-06-29,B,Norte,180
2024-02-11,E,Sur,53
2024-07-04,B,Oeste,312
2024-08-10,A,Norte,75
2024-05-01,B,Sur,73
2024-05-12,D,Sur,315
2024-06-11,C,Este,278
2024-08-02,B,Centro,318
2024-08-08,C,Norte,174
2024-08-22,A,Sur,221
2024-11-26,E,Norte,283
2024-05-25,E,Oeste,344
2024-08-26,C,Oeste,452
2024-03-16,E,Centro,484
2024-01-09,B,Sur,324
2024-03-14,C,Este,125
2024-09-09,D,Sur,357
2024-08-17,B,Norte,263
2024-01-07,B,Oeste,480
2024-06-22,B,Norte,425
2024-05-20,D,Centro,207
2024-06-16,A,Oeste,351
2024-06-18,E,Este,253
2024-10-09,C,Oeste,198
2024-05-01,A,Sur,124
2024-07-12,C,Sur,429
2024-01-05,E,Oeste,278
2024-01-29,D,Centro,353
2024-06-13,B,Sur,111
2024-12-04,B,Sur,107
2024-05-15,D,Este,323
2024-12-30,A,Oeste,157
2024-11-16,A,Sur,236
2024-12-07,C,Centro,278
2024-05-24,D,Norte,97
2024-11-22,A,Oeste,368
2024-08-04,D,Este,317
2024-10-27,E,Sur,264
2024-05-11,B,Centro,339
2024-10-18,B,Oeste,303
2024-03-10,B,Centro,494
2024-09-08,D,Centro,407
2024-10-01,D,Este,136
2024-12-29,C,Oeste,230
2024-06-30,B,Sur,74
2024-06-15,C,Este,495
2024-03-31,B,Sur,437
2024-07-20,C,Norte,271
2024-12-11,C,Centro,446
2024-01-19,E,Norte,475
2024-02-08,C,Centro,98
2024-05-05,D,Este,383
2024-06-21,C,Sur,489
2024-05-20,B,Sur,224
2024-08-29,C,Este,441
2024-08-07,A,Oeste,360
2024-05-05,B,Norte,323
2024-02-27,A,Norte,84
2024-05-27,B,Sur,266
2024-11-12,D,Sur,258
2024-12-26,D,Sur,209
2024-01-01,D,Este,457
2024-12-13,A,Oeste,56
2024-07-08,E,Norte,318
2024-07-09,B,Centro,175
2024-11-07,D,Este,417
2024-04-26,B,Norte,374
2024-05-13,A,Oeste,405
2024-02-27,E,Este,139
2024-02-13,A,Norte,91
2024-06-21,B,Este,414
2024-06-08,E,Norte,208
2024-06-21,E,Norte,251
2024-11-12,A,Oeste,415
2024-10-29,D,Centro,331
2024-05-28,B,Oeste,381
2024-03-20,C,Norte,337
2024-07-31,C,Este,140
2024-07-21,A,Oeste,174
2024-09-08,B,Centro,175
2024-08-16,B,Norte,101
2024-06-12,A,Oeste,453
2024-08-14,B,Oeste,152
2024-05-26,D,Oeste,410
2024-01-20,A,Oeste,473
2024-02-16,D,Este,236
2024-08-20,B,Centro,254
2024-10-31,A,Centro,63
2024-01-14,B,Norte,477
2024-05-22,A,Sur,153
2024-01-01,B,Este,166
2024-02-23,D,Norte,353
2024-09-15,D,Norte,142
2024-05-23,B,Oeste,476
2024-01-12,A,Sur,193
2024-11-25,C,Sur,159
2024-08-11,D,Este,212
2024-09-28,D,Sur,102
2024-12-23,C,Norte,467
2024-06-04,B,Sur,52
2024-01-08,A,Sur,117
2024-05-01,B,Centro,295
2024-12-13,E,Norte,438
2024-06-12,D,Sur,187
2024-03-30,E,Sur,357
2024-05-15,D,Oeste,462
2024-07-04,D,Sur,401
2024-11-11,E,Sur,336
2024-06-26,E,Centro,115
2024-01-28,B,Norte,396
2024-08-07,E,Este,374
2024-12-22,B,Norte,470
2024-02-10,B,Oeste,204
2024-08-15,B,Norte,136
2024-07-10,D,Sur,82
2024-05-24,D,Oeste,117
2024-07-19,E,Norte,236
2024-07-30,D,Oeste,241
2024-08-07,E,Este,262
2024-08-27,D,Norte,137
2024-02-15,A,Sur,477
2024-02-04,A,Oeste,400
2024-09-09,E,Centro,157
2024-03-22,D,Oeste,289
2024-09-12,D,Centro,265
2024-07-15,B,Sur,226
2024-10-29,C,Este,102
2024-01-10,E,Centro,379
2024-11-07,C,Este,98
2024-10-12,C,Oeste,418
2024-08-29,E,Sur,163
2024-09-07,D,Centro,499
2024-12-30,E,Oeste,144
2024-01-05,C,Norte,496
2024-04-28,D,Oeste,74
2024-10-15,A,Este,181
2024-03-05,E,Sur,228
2024-05-25,E,Sur,444
2024-08-11,D,Oeste,194
2024-08-26,A,Norte,413
2024-06-25,A,Este,499
2024-09-23,D,Oeste,247
2024-12-06,B,Oeste,374
2024-10-08,E,Sur,133
2024-03-03,E,Este,206
2024-08-04,C,Norte,134
2024-12-07,D,Sur,302
2024-11-10,C,Oeste,424
2024-10-09,C,Sur,121
2024-06-25,A,Sur,272
2024-04-07,E,Centro,325
2024-04-14,C,Sur,332
2024-04-08,A,Sur,313
2024-11-06,D,Este,295
2024-01-06,C,Sur,390
2024-07-15,E,Norte,110
2024-12-16,C,Oeste,461
2024-05-12,D,Este,308
2024-12-23,C,Sur,56
2024-09-15,E,Norte,237
2024-01-23,A,Oeste,53
2024-02-22,E,Este,280
2024-06-13,A,Norte,182
2024-07-20,B,Sur,444
2024-03-23,E,Centro,174
2024-05-24,E,Centro,64
2024-03-25,D,Este,497
2024-03-18,C,Norte,62
2024-01-01,A,Oeste,167
2024-02-20,A,Norte,289
2024-06-21,D,Centro,312
2024-07-23,D,Este,409
2024-09-16,C,Sur,55
2024-10-14,C,Norte,489
2024-02-03,E,Centro,369
2024-12-13,B,Oeste,280
2024-04-04,C,Este,483
2024-03-12,D,Sur,79
2024-02-08,C,Norte,71
2024-06-02,A,Oeste,458
2024-09-06,B,Sur,205
2024-06-10,E,Centro,167
2024-04-27,A,Centro,389
2024-09-15,A,Oeste,472
2024-11-01,B,Centro,438
2024-09-24,E,Este,242
2024-02-23,D,Oeste,448
2024-08-23,E,Centro,395
2024-08-09,C,Norte,244
2024-09-07,A,Centro,217
2024-11-08,C,Este,426
2024-04-21,D,Sur,288
2024-09-11,C,Sur,411
2024-10-29,E,Centro,293
2024-07-25,C,Sur,118
2024-08-16,D,Centro,144
2024-12-06,D,Este,126
2024-03-06,D,Sur,220
2024-03-15,E,Norte,50
2024-04-12,D,Centro,455
2024-07-10,A,Sur,111
2024-09-08,D,Este,256
2024-08-13,C,Este,203
2024-10-20,C,Norte,323
2024-11-01,C,Este,97
2024-04-07,E,Este,186
2024-12-03,C,Sur,50
2024-10-12,E,Centro,284
2024-11-30,E,Oeste,442
2024-12-12,D,Este,305
2024-11-03,A,Este,456
2024-09-05,D,Oeste,156
2024-06-14,D,Este,222
2024-11-30,E,Sur,179
2024-01-30,E,Sur,447
2024-09-03,C,Oeste,343
2024-04-15,C,Este,89
2024-02-20,D,Este,496
2024-03-21,B,Centro,387
2024-05-12,B,Este,65
2024-10-11,C,Sur,176
2024-05-17,B,Norte,422
2024-07-02,C,Norte,398
2024-11-25,E,Norte,252
2024-09-29,D,Norte,183
2024-12-05,A,Este,308
2024-03-09,D,Este,63
2024-02-03,C,Centro,115
2024-09-18,C,Este,400
2024-02-22,D,Norte,391
2024-07-23,C,Oeste,244
2024-05-05,B,Oeste,163
2024-08-22,B,Sur,208
2024-02-12,C,Sur,210
2024-08-27,C,Este,303
2024-04-20,B,Oeste,434
2024-09-05,C,Norte,477
2024-05-30,C,Norte,64
2024-07-01,D,Norte,86
2024-12-01,A,Este,204
2024-04-04,B,Este,481
2024-01-08,D,Centro,76
2024-12-25,A,Norte,61
2024-07-02,C,Norte,116
2024-10-07,C,Este,79
2024-07-13,D,Este,145
2024-12-17,C,Centro,264
2024-07-13,E,Centro,243
2024-06-03,D,Sur,184
2024-04-02,A,Oeste,339
2024-06-08,D,Norte,81
2024-03-01,B,Norte,422
2024-05-01,D,Centro,88
2024-02-20,C,Centro,401
2024-10-03,C,Sur,476
2024-01-05,E,Oeste,476
2024-04-01,E,Sur,255
2024-06-18,E,Oeste,436
2024-11-12,A,Norte,479
2024-01-22,E,Sur,465
2024-11-21,A,Centro,92
2024-01-01,E,Sur,386
2024-05-12,A,Sur,308
2024-08-20,D,Norte,298
2024-01-12,D,Centro,123
2024-12-11,C,Centro,422
2024-02-15,A,Este,368
2024-02-03,B,Este,416
2024-03-18,C,Este,345
2024-08-05,D,Norte,323
2024-10-27,A,Sur,372
2024-03-13,E,Centro,408
2024-10-08,B,Centro,239
2024-09-05,D,Sur,187
2024-02-16,C,Centro,485
2024-04-30,A,Sur,351
2024-08-01,B,Norte,360
2024-08-26,A,Norte,479
2024-02-25,E,Norte,380
2024-12-15,C,Sur,493
2024-04-16,A,Sur,402
2024-11-14,D,Oeste,331
2024-02-17,C,Centro,460
2024-03-01,D,Centro,215
2024-12-02,A,Oeste,327
2024-01-26,C,Oeste,75
2024-10-18,D,Norte,468
2024-09-13,E,Oeste,499
2024-01-08,E,Sur,122
2024-04-22,A,Este,164
2024-12-20,C,Sur,100
2024-09-09,B,Oeste,418
2024-06-28,C,Centro,451
2024-07-25,E,Sur,220
2024-10-29,D,Centro,317
2024-05-06,B,Sur,52
2024-02-25,A,Centro,259
2024-08-01,B,Sur,425
2024-01-14,A,Centro,440
2024-01-28,B,Este,439
2024-03-18,A,Norte,387
2024-08-03,A,Sur,350
2024-12-30,B,Este,432
2024-06-02,B,Norte,391
2024-01-14,A,Sur,164
2024-07-05,E,Este,216
2024-11-07,B,Este,484
2024-01-07,C,Este,314
2024-01-03,D,Oeste,276
2024-04-20,A,Centro,200
2024-08-25,A,Norte,317
2024-12-28,D,Centro,165
2024-08-26,E,Centro,137
2024-09-30,D,Centro,367
2024-10-20,B,Este,291
2024-08-14,D,Centro,409
2024-01-15,A,Oeste,378
2024-07-10,D,Sur,382
2024-04-28,C,Este,89
2024-01-28,B,Norte,231
2024-07-20,D,Sur,258
2024-02-08,A,Sur,440
2024-09-29,B,Sur,322
2024-08-18,A,Centro,168
2024-03-26,E,Centro,431
2024-05-05,C,Este,483
2024-10-26,E,Centro,73
2024-01-25,C,Centro,307
2024-05-24,D,Centro,141
2024-01-13,B,Este,210
2024-07-30,D,Este,198
2024-01-25,C,Oeste,166
2024-03-08,C,Oeste,102
2024-03-07,C,Oeste,351
2024-08-20,A,Oeste,94
2024-04-18,B,Sur,314
2024-05-25,D,Sur,311
2024-04-20,D,Oeste,356
2024-08-15,E,Oeste,283
2024-04-20,C,Norte,424
2024-02-03,C,Sur,84
2024-04-20,C,Norte,387
2024-09-20,D,Norte,486
2024-08-23,E,Centro,452
2024-03-23,A,Este,246
